"id","status","noCharge","completedOn","invoice_total","lon","lat","zip"
32967403,Completed,true,"2019-09-23T17:02:00",0,-82.9907807,39.9499531,"43206"
32621509,Completed,true,"2019-08-31T16:18:00",0,-82.9914393,39.8854749,"43207"
32967414,Completed,true,"2019-09-19T15:35:00",0,-82.8849992,40.0876021,"43081"
32971983,Completed,true,"2019-09-19T20:16:00",0,-83.0871154,39.8750905,"43123"
32967461,Completed,false,"2019-09-19T16:59:00",0,-83.1614035,40.1208569,"43016"
32621655,Completed,false,"2019-08-31T21:36:00",2474,-82.9192498,40.179761,"43082"
32621675,Completed,true,"2019-08-31T22:23:00",0,-82.8394708,39.973095,"43213"
32967526,Completed,false,"2019-09-19T18:51:00",312,-82.8788045,40.1631559,"43082"
32967562,Completed,false,"2019-09-19T20:35:00",4567,-83.067384,40.004813,"43221"
32967697,Completed,true,"2019-09-19T20:05:00",0,-83.047276,40.0991989,"43085"
32967730,Completed,false,"2019-09-19T19:05:00",789,-83.0418644,39.9077988,"43123"
32967810,Completed,false,"2019-09-19T15:23:00",0,-83.052058,39.9804991,"43212"
32967820,Completed,false,"2019-09-20T16:10:00",258,-83.0571333,39.9971662,"43212"
32967861,Canceled,false,"2019-09-19T17:11:37.0196967",0,-117.0718502,33.160936,"92026"
32623555,Completed,true,"2019-08-31T18:50:00",0,-82.9936435,40.1659128,"43035"
32967941,Completed,false,"2019-09-20T17:38:00",1839.36,-83.1659469,40.1575761,"43017"
32967994,Completed,false,"2019-09-19T18:36:00",0,-83.0179472,39.8356268,"43137"
32968264,Completed,false,"2019-09-19T16:16:00",93,-82.9158032,40.1118944,"43081"
32968331,Completed,false,"2019-09-19T16:41:00",0,-83.1078223,40.316201,"43015"
32968400,Completed,true,"2019-09-23T20:43:00",0,-83.0087976,40.0169982,"43202"
32968424,Completed,false,"2019-09-19T20:10:00",3610,-82.7871445,40.0964177,"43054"
32968459,Completed,true,"2019-09-20T21:04:00",0,-82.9847425,39.949493,"43206"
32972057,Completed,false,"2019-09-19T20:45:00",895.59,-83.047255,40.0896563,"43085"
32972087,Completed,false,"2019-09-19T20:00:00",634,-82.9702968,40.1027533,"43229"
32972756,Completed,true,"2019-09-19T19:18:00",0,-82.8921979,40.1359057,"43082"
32972798,Completed,false,"2019-09-19T19:43:00",562,-82.9802915,40.1159448,"43085"
32972821,Completed,true,"2019-09-19T20:13:00",0,-83.0858996,39.889691,"43123"
32973082,Canceled,true,"2019-09-20T12:52:13.0112138",0,-83.0812878,40.3190215,"43015"
32973141,Completed,false,"2019-09-20T13:29:00",484,-83.0552719,40.0616105,"43220"
32973214,Completed,false,"2019-09-20T18:55:00",0,-83.1859489,40.045293,"43026"
32973229,Canceled,true,"2019-09-19T21:29:57.5278986",0,-121.8265691,36.5258773,"93923"
32973271,Completed,false,"2019-09-19T18:31:00",0,-83.0371043,40.0571457,"43214"
32973318,Completed,true,"2019-09-19T21:33:00",0,-83.050417,40.0237369,"43221"
32973363,Completed,false,"2019-09-20T13:31:00",0,-83.0487022,40.0193213,"43221"
32973474,Completed,false,"2019-09-20T16:51:00",0,-82.8269087,40.0622614,"43054"
32973530,Canceled,false,"2019-09-20T11:39:39.7488456",0,-82.828529,39.9711806,"43068"
32974022,Completed,false,"2019-09-24T22:38:00",2900,-82.912037,40.155638,"43082"
32975562,Completed,true,"2019-09-19T18:17:00",0,-83.0960864,39.97946,"43204"
32975624,Hold,false,,0,-82.9758092,40.1562619,"43240"
32975698,Completed,false,"2019-09-20T14:08:00",370,-82.828529,39.9711806,"43068"
32975822,Completed,true,"2019-09-24T14:17:00",0,-82.912037,40.155638,"43082"
32975880,Scheduled,false,,0,-82.9751684,39.8853889,"43207"
32975934,Completed,false,"2019-09-19T21:34:00",624,-83.1421068,40.0013514,"43026"
32976198,Completed,false,"2019-09-23T16:24:00",235,-82.8956667,39.9511699,"43227"
32976230,Completed,false,"2019-09-20T19:45:00",1449,-82.7590912,40.0006901,"43062"
32976302,Completed,false,"2019-09-20T14:50:00",0,-82.9932656,40.0324907,"43224"
32976662,Completed,false,"2019-09-23T18:22:00",0,-82.8319591,40.0639291,"43054"
32977106,Completed,true,"2019-09-23T20:11:00",0,-82.9682389,39.9669374,"43203"
32977545,Canceled,false,"2019-09-21T02:02:31.7023316",0,-117.2506869,33.1664172,"92081"
32977581,Working,false,,1550.66,-82.8937956,40.1263708,"43081"
32977631,Completed,false,"2019-09-19T18:50:00",235,-82.921681,39.959008,"43209"
32977653,Completed,false,"2019-09-19T19:38:00",235,-83.01793900000001,40.042654,"43214"
32978894,Completed,false,"2019-09-20T23:21:00",93,-117.0717542,33.1422675,"92027"
32978925,Completed,false,"2019-09-19T21:36:00",1549,-83.0718404,39.9613431,"43204"
32209610,Completed,false,"2019-08-12T20:02:00",637,-82.8175014,40.0085819,"43004"
32979334,Completed,false,"2019-09-20T19:33:00",233,-82.8092503,39.8741299,"43110"
32979362,Completed,true,"2019-09-20T15:34:00",0,-82.8908313,39.9623306,"43213"
32980226,Completed,true,"2019-09-20T13:24:00",0,-82.8926394,40.0375995,"43230"
32209636,Completed,true,"2019-08-13T21:43:00",0,-83.0211786,40.0401183,"43214"
32980421,Completed,true,"2019-09-19T18:46:00",0,-83.0718404,39.9613431,"43204"
32980433,Hold,false,,18845,-83.0960864,39.97946,"43204"
32980514,Completed,false,"2019-09-19T22:35:00",699,-83.1052657,40.040053,"43026"
32980688,Completed,true,"2019-09-23T12:35:00",0,-82.9166649,40.1361329,"43082"
32980708,Completed,false,"2019-09-19T22:40:00",950,-83.0551409,40.1282067,"43235"
32980751,Completed,false,"2019-09-23T19:41:00",0,-82.8921143,40.2820272,"43074"
28691268,Completed,false,"2019-09-12T12:00:00",0,-82.8981893,40.1709915,"43082"
32981104,Completed,false,"2019-09-20T16:15:00",421,-83.0438151,40.0980548,"43085"
32981347,Canceled,false,"2019-09-19T20:55:12.9514973",0,-83.387348,40.251729,"43040"
32981386,Completed,false,"2019-09-20T19:40:00",378,-82.8857854,40.0140905,"43230"
32981399,Hold,false,,0,-82.9849524,40.0916928,"43229"
32981408,Canceled,false,"2019-09-20T15:17:06.6561266",0,-83.006615,40.0352918,"43214"
32981417,Completed,false,"2019-09-20T17:54:00",205,-82.8657659,39.8979266,"43232"
32982645,Completed,false,"2019-09-20T21:23:00",846,-83.0858996,39.889691,"43123"
32983016,Completed,false,"2019-09-20T13:07:00",0,-83.06636,40.1295365,"43065"
32499429,Completed,false,"2019-09-12T20:48:00",4761.48,-83.1698829,40.0788667,"43016"
32594723,Completed,false,"2019-09-12T14:37:00",451.09,-83.0706819,40.0665555,"43235"
32983044,Canceled,false,"2019-09-20T13:55:03.581429",0,-117.295882,33.223567,"92057"
32983386,Completed,false,"2019-09-20T20:55:00",2499,-83.0696729,40.0434305,"43220"
32629678,Completed,false,"2019-09-12T13:08:00",0,-83.1569331,40.1119992,"43017"
32631699,Completed,true,"2019-09-12T20:56:00",0,-83.0352775,39.9840012,"43212"
32983787,Completed,false,"2019-09-20T17:41:00",250,-83.0454302,39.98066,"43212"
32983902,Canceled,false,"2019-09-19T21:27:08.1411629",0,-83.1639998,39.9942256,"43026"
